Key,russian

RewardQuest_keyword,"Задание"
RewardSkillPoint_keyword,"Очки умений"
RewardTypeChainQuest,"Цепочка наград"
WorkbenchCampfire2,"Костер T2"
WorkbenchCampfire3,"Костер T2"
WorkbenchCampfire4,"Костер T3"
ZombieRNGRange,"Разброс количества"
abandonedVehicleRepairTip,"Иногда можно встретить транспорт, который можно отремонтировать. Различный транспорт требует различных видов ремонтных комплектов:\nВелосипед - Комплект для ремонта велосипедов,\nМинибайк - набор для ремонта минибайков,\nМотоцикл - набор для ремонта мотоциклов,\nАвтомобили - набор для ремонта автомобилей,\nВоенный грузовик - набор для ремонта грузовиков.\n\nЧтобы отремонтировать [decea3]Ремонтопригодный[-] транспорт, вы должны иметь [decea3]Гаечный ключ[-], [decea3]Трещотку[-] или [decea3]Гайковерт[-] в руке и иметь соответствующий [decea3]Ремонтный набор[-] в инвентаре, после чего подойдите к [decea3]Ремонтируемому[-] транспорту и используйте [decea3]Второстепенное действие[-] (по умолчанию: правая кнопка мыши или сокращенно ПКМ).\nУдерживайте клавишу [decea3]Вторичного действия[-] пока транспорт не будет полностью отремонтирован.\n\n[decea3]Сломанный транспорт (без надписи[-] [73E9B2]Ремонтопригодно[-][decea3]) не может быть отремонтирован, вам придется поискать другой.[-]"
abandonedVehicleRepairTip_title,"UL / Транспорт / Ремонт"
actionPerkArchery1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки и натягивания тетивы [decea3]+5%[-]"
actionPerkArchery2,"Урон, Точность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+10%[-]"
actionPerkArchery3,"Урон, Точность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+15%[-]"
actionPerkArchery4,"Урон, Точность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+20%[-]"
actionPerkArchery5,"Урон, Точность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+25%[-]"
actionPerkArchery,"Луки и Арбалеты"
actionPerkArmorHeavy,"Тяжелая броня"
actionPerkArmorHeavyDesc,"Улучшает характеристики [decea3]Тяжелой брони[-]. Получайте урон в тяжелой броне, чтобы развить этот навык."
actionPerkArmorHeavyEffect,"Повышает качество и прочность [decea3]тяжелой брони[-] \nна [decea3]0,25%[-]."
actionPerkArmorLight,"Легкая броня"
actionPerkArmorLightDesc,"Улучшает характеристики [decea3]Легкой брони[-]. Получайте урон в Легкой броне, чтобы развить этот навык."
actionPerkArmorLightEffect,"Повышает качество и прочность [decea3]Легкой брони[-] и [decea3]Легкой одежды[-] \nна [decea3]0,25%[-]."
actionPerkArmorMedium,"Средняя броня"
actionPerkArmorMediumDesc,"Улучшает характеристики [decea3]Средней брони[-]. Получайте урон в Средней броне, чтобы развить этот навык."
actionPerkArmorMediumEffect,"Повышает качество и прочность [decea3]Средней брони[-] и [decea3]Средней одежды[-] \nна [decea3]0,25%[-]."
actionPerkAssasin1,"Внезапные атаки дополнительно наносят [decea3]20%[-]"
actionPerkAssasin2,"Внезапные атаки дополнительно наносят [decea3]40%[-]"
actionPerkAssasin3,"Внезапные атаки дополнительно наносят [decea3]60%[-]"
actionPerkAssasin4,"Внезапные атаки дополнительно наносят [decea3]80%[-]"
actionPerkAssasin5,"Внезапные атаки дополнительно наносят [decea3]100%[-]"
actionPerkAssasin,"Убийца"
actionPerkAssaultRifles1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]\n[decea3]Разблокирует создание Экспансивных или «дум-дум» патронов 5.56мм[-]"
actionPerkAssaultRifles2,"Урон, Точность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]\n[decea3]Разблокирует создание Бронебойных патронов 5.56мм[-]"
actionPerkAssaultRifles3,"Урон, Точность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkAssaultRifles4,"Урон, Точность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkAssaultRifles5,"Урон, Точность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkAssaultRifles,"Автоматические винтовки"
