Key,russian

100,"Оставаться здоровым в пустоши - задача не из легких, поэтому вот несколько пунктов для начала:\n\nВам необходимо сбалансировать 4 основных питательных вещества: Жир, углеводы (карбогидраты), белок и витамины.\n\nПервые три определяют ваш общий уровень энергии (калории). Витамины определяют силу вашей иммунной системы.\n\nПока калории не превышают 0, вы не умрете, а 0 витаминов - это не конец света, но вы будете более восприимчивы к болезням.\n\nУправление всеми 4 питательными веществами на уровне 75% пассивно увеличит ваше здоровье. Если уровень любого из четырех питательных веществ опустится ниже 25%, вы потеряете здоровье. \Здоровье не может быть ниже 0, и каждое очко здоровья дает следующие бонусы:\n- Добавляет 1 к максимальному здоровью\n- Добавляет 1 к максимальной выносливости\n- Добавляет 1 к максимальному переносимому весу\n- Добавляет 1% к получению опыта\n\nЕсли в вашем теле 0 калорий, то вы умираете и:\n- Любое пассивное восстановление здоровья останавливается\n- Теряете 2 здоровья каждую минуту\n- Скорость восстановления выносливости замедляется\n- Восстановление выносливости уменьшает максимально доступную выносливость\n- Немедленно ищите пищу."
100_title,"Питание"
RewardQuest_keyword,"Задание"
RewardSkillPoint_keyword,"Очки умений"
RewardTypeChainQuest,"Цепочка наград"
WorkbenchCampfire2,"Костер T2"
WorkbenchCampfire3,"Костер T3"
WorkbenchCampfire4,"Костер T4"
abandonedVehicleRepairTip,"Иногда можно встретить транспортное средство, которое можно отремонтировать. Различные транспортные средства требуют различных видов ремонтных комплектов :\nВелосипед - Комплект для ремонта велосипедов,\nМинибайк - набор для ремонта минибайков,\nМотоцикл - набор для ремонта мотоциклов,\nАвтомобили - набор для ремонта автомобилей,\nВоенный грузовик - набор для ремонта грузовиков.\n\nЧтобы отремонтировать [decea3]Ремонтопригодный[-] транспорт, вы должны иметь [decea3]Гаечный ключ[-], [decea3]Трещотку[-] или [decea3]Гайковерт[-] в руке и иметь соответствующий [decea3]Ремонтный набор[-] в инвентаре, после чего подойдите к [decea3]Ремонтируемому[-] транспорт и используйте [decea3]Второстепенное действие[-] (по умолчанию: правая кнопка мыши или сокращенно ПКМ).\nУдерживайте клавишу [decea3]Вторичного действия[-] пока транспорт не будет полностью отремонтирован.\n\n[decea3]Сломанный транспорт(без надписи[decea3]Ремонтопригодный[-]) не может быть отремонтирован, вам придется найти другой.[-]"
abandonedVehicleRepairTip_title,"UL / Транспорт / Ремонт"
actionPerkArchery,"Луки и Арбалеты"
actionPerkArchery1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки и натягивания тетивы [decea3]+5%[-]"
actionPerkArchery2,"Урон, Точность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+10%[-]"
actionPerkArchery3,"Урон, Точность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+15%[-]"
actionPerkArchery4,"Урон, Точность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+20%[-]"
actionPerkArchery5,"Урон, Точность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+25%[-]"
actionPerkArcheryLevelUp,"Ваш навык владения [decea3]Луками и Арбалетами[-] повысился!"
actionPerkArmorHeavy,"Тяжелая броня"
actionPerkArmorHeavyDesc,"Улучшает характеристики [decea3]Тяжелой брони[-]. Получайте урон в тяжелой броне, чтобы развить этот навык."
actionPerkArmorHeavyEffect,"Повышает качество и прочность [decea3]тяжелой брони[-] \nна [decea3]0,25%[-]."
actionPerkArmorLight,"Легкая броня"
actionPerkArmorLightDesc,"Улучшает характеристики [decea3]Легкой брони[-]. Получайте урон в Легкой броне, чтобы развить этот навык."
actionPerkArmorLightEffect,"Повышает качество и прочность [decea3]Легкой брони[-] и [decea3]Легкой одежды[-] \nна [decea3]0,25%[-]."
actionPerkArmorMedium,"Средняя броня"
actionPerkArmorMediumDesc,"Улучшает характеристики [decea3]Средней брони[-]. Получайте урон в Средней броне, чтобы развить этот навык."
actionPerkArmorMediumEffect,"Повышает качество и прочность [decea3]Средней брони[-] и [decea3]Средней одежды[-] \nна [decea3]0,25%[-]."
actionPerkAssasin,"Убийца"
actionPerkAssasin1,"Внезапные атаки дополнительно наносят [decea3]20%[-]"
actionPerkAssasin2,"Внезапные атаки дополнительно наносят [decea3]40%[-]"
actionPerkAssasin3,"Внезапные атаки дополнительно наносят [decea3]60%[-]"
actionPerkAssasin4,"Внезапные атаки дополнительно наносят [decea3]80%[-]"
actionPerkAssasin5,"Внезапные атаки дополнительно наносят [decea3]100%[-]"
actionPerkAssasinLevelUp,"Ваш навык [decea3]Убийцы[-] повысился!"
actionPerkAssaultRifles,"Автоматические винтовки"
actionPerkAssaultRifles1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]\n[decea3]Разблокирует создание Экспансивных или «дум-дум» патронов 5.56мм[-]"
actionPerkAssaultRifles2,"Урон, Точность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]\n[decea3]Разблокирует создание Бронебойных патронов 5.56мм[-]"
actionPerkAssaultRifles3,"Урон, Точность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkAssaultRifles4,"Урон, Точность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkAssaultRifles5,"Урон, Точность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkAssaultRiflesLevelUp,"Ваш навык владения [decea3]Автоматическими винтовками[-] повысился!"
actionPerkAthletics,"Атлетика"
actionPerkAthletics1,"Максимум выносливости [decea3]+5%[-]\nВосстановление выносливости при беге [decea3]+5%[-]"
actionPerkAthletics2,"Максимум выносливости [decea3]+10%[-]\nВосстановление выносливости при беге [decea3]+10%[-]"
actionPerkAthletics3,"Максимум выносливости [decea3]+15%[-]\nВосстановление выносливости при беге [decea3]+15%[-]"
actionPerkAthletics4,"Максимум выносливости [decea3]+20%[-]\nВосстановление выносливости при беге [decea3]+20%[-]"
actionPerkAthletics5,"Максимум выносливости [decea3]+25%[-]\nВосстановление выносливости при беге [decea3]+25%[-]"
actionPerkAthleticsDesc,"Повышает скорость регенерации выносливости при беге и максимальную выносливость до [decea3]20%[-]. Гуляйте, бегайте, прыгайте или плавайте, чтоб развить навык."
actionPerkAthleticsEffect,"Повышает скорость регенерации выносливости при беге и максимальную выносливость на [decea3]0.2%[-]."
actionPerkAthleticsLevelUp,"Ваш навык [decea3]Атлетики[-] повысился!"
actionPerkAxes,"Лесоруб"
actionPerkAxes1,"Урон [decea3]+10%[-]\nЭфектиность заготовки [decea3]+10%[-]"
actionPerkAxes2,"Урон [decea3]+20%[-]\nЭфектиность заготовки [decea3]+20%[-]"
actionPerkAxes3,"Урон [decea3]+30%[-]\nЭфектиность заготовки [decea3]+30%[-]"
actionPerkAxes4,"Урон [decea3]+40%[-]\nЭфектиность заготовки [decea3]+40%[-]"
actionPerkAxes5,"Урон [decea3]+50%[-]\nЭфектиность заготовки [decea3]+50%[-]"
actionPerkAxesLevelUp,"Ваш навык [decea3]Лесоруба[-] повысился!"
actionPerkBigGuns,"Большие Пушки"
actionPerkBigGunsDesc,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]BFG[-] до [decea3]25%[-]. Используйте ракетные установки, чтобы улучшить этот навык."
actionPerkBigGunsEffect,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]BFG[-] \nна [decea3]0.25%[-]."
actionPerkBlades,"Клинки и Мечи"
actionPerkBlades1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]"
actionPerkBlades2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]"
actionPerkBlades3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]"
actionPerkBlades4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]"
actionPerkBlades5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]"
actionPerkBladesDesc,"Повышает урон клинкового оружия, скорость атаки и шанс расчленения(увечья) до [decea3]25%[-] количество собраного мяса до [decea3]40%[-]. Используйте клинковое оружие для развития этого навыка."
actionPerkBladesEffect,"Повышает урон клинкового оружия, скорость атаки и шанс расчленения(увечья) на [decea3]0.25%[-]. количество собраного мяса на [decea3]0.4%[-]."
actionPerkBladesLevelUp,"Ваш навык владения [decea3]Клинками[-] повысился!"
actionPerkBlunt,"Тупое оружие"
actionPerkBluntDesc,"Повышает урон от тупого оружия, скорость атаки и шанс оглушения до [decea3]25%[-]. Используйте тупое оружие ближнего боя, чтобы улучшить этот навык."
actionPerkBluntEffect,"Повышает урон от тупого оружия, скорость атаки и шанс оглушения на [decea3]0.25%[-]."
actionPerkBrawler,"Кулачный бой"
actionPerkBrawler1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]"
actionPerkBrawler2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]"
actionPerkBrawler3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]"
actionPerkBrawler4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]"
actionPerkBrawler5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]"
actionPerkBrawlerLevelUp,"Ваш навык [decea3]Кулачный бой[-] улучшен!"
actionPerkButcher,"Свежевание"
actionPerkButcher1,"Ресурсов с трупов животных [decea3]+10%[-]"
actionPerkButcher2,"Ресурсов с трупов животных [decea3]+20%[-]"
actionPerkButcher3,"Ресурсов с трупов животных [decea3]+30%[-]"
actionPerkButcher4,"Ресурсов с трупов животных [decea3]+40%[-]"
actionPerkButcher5,"Ресурсов с трупов животных [decea3]+50%[-]"
actionPerkButcherLevelUp,"Ваш навык [decea3]Свежевания[-] повысился!"
actionPerkClubs,"Дубинки"
actionPerkClubs1,"Урон, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nДополнительный урон по оглушенным целям [decea3]+10%[-]"
actionPerkClubs2,"Урон, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nДополнительный урон по оглушенным целям [decea3]+20%[-]"
actionPerkClubs3,"Урон, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nДополнительный урон по оглушенным целям [decea3]+30%[-]"
actionPerkClubs4,"Урон, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nДополнительный урон по оглушенным целям [decea3]+40%[-]"
actionPerkClubs5,"Урон, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nДополнительный урон по оглушенным целям [decea3]+50%[-]"
actionPerkClubsLevelUp,"Ваш навык владения [decea3]Дубинками[-] повысился!"
actionPerkCombatRifles,"Винтовки"
actionPerkCombatRiflesDesc,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]Винтовок[-] \nдо [decea3]25%[-]. Используйте винтовки, чтобы улучшить этот навык."
actionPerkCombatRiflesEffect,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]Винтовок[-] \nна [decea3]0.25%[-]."
actionPerkDesc,"[decea3]Навык[-]: Уровень повышается сам по себе при выполнении определеных действий (стрельба из лука\копка\разборка предметов и т.д.) или при прочтении книги относящихся к навыку.\n\n"
actionPerkExplosives,"Взрывчатые вещества"
actionPerkExplosives1,"Урон [decea3]+10%[-]\nТочность и шанс расчленения [decea3]+5%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkExplosives2,"Урон [decea3]+20%[-]\nТочность и шанс расчленения [decea3]+10%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkExplosives3,"Урон [decea3]+30%[-]\nТочность и шанс расчленения [decea3]+15%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkExplosives4,"Урон [decea3]+40%[-]\nТочность и шанс расчленения [decea3]+20%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkExplosives5,"Урон [decea3]+50%[-]\nТочность и шанс расчленения [decea3]+25%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkExplosivesLevelUp,"Ваш навык обращения с [decea3]Explosives[-] повысился!"
actionPerkFarmer,"Фермер"
actionPerkFarmerDesc,"Вы становитесь более умелым, используя сельскохозяйственные или связанные с копанием инструменты, такие как лопаты, грабли и серпы. Используйте сельскохозяйственные инструменты, чтобы улучшить этот навык."
actionPerkFarmerEffect,"[decea3]+0.5%[-] Урона блокам, [decea3]+0.2%[-] скорость атаки, расход выносливости [decea3]-0.2%[-]."
actionPerkHandguns,"Пистолеты"
actionPerkHandguns1,"Урон, Точность, Шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkHandguns2,"Урон, Точность, Шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkHandguns3,"Урон, Точность, Шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkHandguns4,"Урон, Точность, Шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkHandguns5,"Урон, Точность, Шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkHandgunsDesc,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]Пистолетов[-] до [decea3]25%[-]. Используйте пистолеты для развития этого навыка."
actionPerkHandgunsEffect,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]Пистолетов[-] на \nby [decea3]0.25%[-]."
actionPerkHandgunsLevelUp,"Ваш навык владения [decea3]Пистолетами[-] повысился!"
actionPerkHealing,"Лекарь"
actionPerkHealing1,"Эффективность медикаментов [decea3]+20%[-]"
actionPerkHealing2,"Эффективность медикаментов [decea3]+40%[-]"
actionPerkHealing3,"Эффективность медикаментов [decea3]+60%[-]"
actionPerkHealing4,"Эффективность медикаментов [decea3]+80%[-]"
actionPerkHealing5,"Эффективность медикаментов [decea3]+100%[-]"
actionPerkHealingDesc,"Увеличивает максимальное здоровье до [decea3]50[-]. Используйте медицикаменты для разития навыка."
actionPerkHealingEffect,"Увеличивает максимальное здоровье на [decea3]0.5[-]."
actionPerkHealingLevelUp,"Навык [decea3]Лекаря[-] повысился!"
actionPerkLockPicking,"Взлом замков"
actionPerkLockPicking1,"Булавки прочнее на [decea3]20%[-]. Увеличивает слабую зону на [decea3]1.6[-] градусов"
actionPerkLockPicking2,"Булавки прочнее на [decea3]40%[-]. Увеличивает слабую зону на [decea3]3.2[-] градусов"
actionPerkLockPicking3,"Булавки прочнее на [decea3]60%[-]. Увеличивает слабую зону на [decea3]4.8[-] градусов"
actionPerkLockPicking4,"Булавки прочнее на [decea3]80%[-]. Увеличивает слабую зону на [decea3]6.4[-] градусов"
actionPerkLockPicking5,"Булавки прочнее на [decea3]100%[-]. Увеличивает слабую зону на [decea3]8.0[-] градусов"
actionPerkLockpickingDesc,"Улучшает ваше умение взламывать замки, увеличивая скорость взлома замка до [decea3]50%[-]. Чтобы улучшить это умение, взламывайте замки Булавками."
actionPerkLockpickingEffect,"Взлом быстрее на [decea3]0.5%[-]."
actionPerkLockPickingLevelUp,"Ваш навык [decea3]Взлома замков[-] повысился!"
actionPerkLogger,"Лесоруб"
actionPerkLoggerDesc,"Вы становитесь опытней когда используете топоры и пилы. Используете топоры и пилы чтоб развить навык."
actionPerkLoggerEffect,"[decea3]+0.5%[-] Урон блокам, [decea3]+0.2%[-] скорость атки, [decea3]-0.2%[-] расход выносливости."
actionPerkLooting,"Добыча"
actionPerkLooting1,"Скорость осмотра [decea3]+10%[-]\n [decea3]+5%[-]"
actionPerkLooting2,"Скорость осмотра [decea3]+20%[-]\nПовышение шанса добычи [decea3]+10%[-]"
actionPerkLooting3,"Скорость осмотра [decea3]+30%[-]\nПовышение шанса добычи [decea3]+15%[-]"
actionPerkLooting4,"Скорость осмотра [decea3]+40%[-]\nПовышение шанса добычи [decea3]+20%[-]"
actionPerkLooting5,"Скорость осмотра [decea3]+50%[-]\nПовышение шанса добычи [decea3]+25%[-]"
actionPerkLootingLevelUp,"Ваш навык [decea3]Добычи[-] повысился!"
actionPerkMining,"Шахтер"
actionPerkMining1,"Урон [decea3]+10%[-]\nДополнительные ресурсы [decea3]+10%[-]"
actionPerkMining2,"Урон [decea3]+20%[-]\nДополнительные ресурсы [decea3]+20%[-]"
actionPerkMining3,"Урон [decea3]+30%[-]\nДополнительные ресурсы [decea3]+30%[-]"
actionPerkMining4,"Урон [decea3]+40%[-]\nДополнительные ресурсы [decea3]+40%[-]"
actionPerkMining5,"Урон [decea3]+50%[-]\nДополнительные ресурсы [decea3]+50%[-]"
actionPerkMiningDesc,"Вы становитесь более умелым при использовании инструментов, связанных с добычей полезных ископаемых, таких как кирки и буры. Используйте шахтерские инструменты , чтобы улучшить этот навык."
actionPerkMiningEffect,"[decea3]+0.5%[-] Урон блокам, [decea3]+0.2%[-] скорость атаки, [decea3]-0.2%[-] расход выносливости."
actionPerkMiningLevelUp,"Ваш навык [decea3]Шахтер[-] повысился!"
actionPerkPainTolerance,"Болевой порог"
actionPerkPainToleranceDesc,"Не обращайте внимания на боль, продолжайте драться когда другие уже сдались. Получайте урон чтоб развить навык."
actionPerkPainToleranceEfffect,"Снижает потери здоровья на [decea3]0.25%[-] и повышает сопротивление оглушению на [decea3]0.75%[-]."
actionPerkQuesting,"Задания"
