Key,English

campfireActivate,"Open Campfire"
caffeineBuzz,"Caffeine Rush"
caffeineBuzzDesc,"Caffeine gives you energy, keeping your stamina higher and core body temperature warmer for a limited time."
inpActActionLockStack,"Lock Stack"
inpActInventorySlot9Name,"Slot 9"
inpActInventorySlot10Name,"Slot 10"
inpActInventorySlot11Name,"Slot 11"
inpActInventorySlot12Name,"Slot 12"
inpActMiddleMouseActionName,"Middle Mouse"
inpActVehicleToggleTopLightName,"Toggle Top Lights"
inpActVehicleToggleSirenName,"Toggle Siren"
inpActVehicleChangeSeatPrevName,"Previous Seat"
inpActVehicleChangeSeatNextName,"Next Seat"
inpActLockSelectedSlotName,"Lock Inventory Slot"
inpActGuiKeyboardSpaceName,"Action Hotkey 5"
inpActDebugScreenshotName,"Debug Screenshot"
inpActDebugGameEventName,"Debug Events"
infectionDesc,"You are infected. Use antibiotics, honey or herbal antibiotics to heal the infection. If left untreated you will get weaker and eventually die."
lblContextActionCraft,"Craft"
lblContextActionDrink,"Use"
lblContextActionDrop,"Drop"
lblContextActionEat,"Use"
lblContextActionForge,"Forge"
lblContextActionPin,"Pin"
lblContextActionRead,"Examine"
lblContextActionRecharge,"Recharge"
lblContextActionResearch,"Research"
lblContextActionScrap,"Scrap"
lblContextActionWear,"Wear"
lblContextActionInspect,"Inspect"
lblLevel,"Level: {0}"
lblAcceptQuest,"Accept Mission"
lblCancelQuest,"Cancel Mission"
lblRemoveQuest,"Remove Mission"
lblShareQuest,"Share Mission"
lblShowUnknownIngredients,"Show Unknown Ingredients"
lblVisionEquipment,"Vision Equipment"
lblEyewear,"Eye wear"
lblFacewear,"Face wear"
lblBelt,"Belt"
lblAccessory,"Accessory"
lblBackpack,"Backpack"
lblClothingHead,"Cap Liner"
lblClothingChest,"Undershirt"
lblClothingHand,"Glove Liner"
lblClothingFeet,"Socks"
megaCrushBuffName,"Energy Drink"
megaCrushBuffDesc,"Boost your reflexes and stamina gain with the additional energy surge!"
rangedWeaponStatsTip_title,"Ranged Weapon Statistics"
statActionExpAll,"Skill XP"
statActionExpDoubleChance,"Double Skill XP Chance"
statBarteringFitness,"Fitness Item Bartering"
statBarteringGunsAmmo,"Firearms Bartering"
statCapacity,"Capacity"
statCargo,"Cargo"
statCarryCapacity,"Backpack Space"
statCritDamageResist,"Critical Resist"
statCritHealingSpeed,"Critical Healing"
statCritResist,"Resist Critical Damage"
statDamageAnimals,"Damage to Animals"
statDamageDirt,"Damage to Dirt"
statDamageIron,"Damage to Iron"
statDamageMetal,"Damage to Metal"
statDamageStone,"Damage to Stone"
statDamageUndead,"Damage to Undead"
statDamageWood,"Damage to Wood"
statDegradationPerUse,"Degradation Per Use"
statFilter,"Filter"
statForagingChance,"Bonus Plant Chance"
statResistBleed,"Resist Bleed"
statResistCrit,"Resist Infection, Fatigued, Sprain, Stun"
statResistInfection,"Resist Infection"
statTreeResources,"Tree Resources"
statHealthChangeOT,"Healing /sec"
statHealthMaxModifierOT,"Healing"
statHyperthermalResist,"Heat Resist"
statHypothermalResist,"Cold Resist"
statNoiseIncrease,"Noise"
statPhysicalDamageResist,"Physical Armor"
statPhysicalDamageResistLight,"Physical Armor (Light)"
statPhysicalDamageResistHeavy,"Physical Armor (Heavy)"
statPlayerExpGain,"Experience Gain"
statPlayerExpSalvaging,"Salvaging Experience"
statPlayerExpMining,"Mining Experience"
statReduceWeightBagAmmoGuns,"Ammo/Gun Weight in BP"
statReduceWeightBagMining,"Ore Weight in BP"
statReduceWeightBagMedical,"Medical Weight in BP"
statReduceWeightBagDrinks,"Drinks Weight in BP"
statReduceWeightBagFood,"Food Weight in BP"
statReduceWeightBagFoodDrinks,"Food/Drinks Weight in BP"
statReduceWeightBagConsumables,"Consumables Weight in BP"
statReduceWeightBagResources,"Resources Weight in BP"
statReduceWeightBagOreWood,"Ore/Wood Weight in BP"
statReduceWeightBeltAll,"All Item Weight in Belt"
statReduceWeightBeltAmmoGuns,"Ammo/Gun Weight in Belt"
statReduceWeightBeltMedical,"Medical Weight in Belt"
statReduceWeightBeltDrinks,"Drinks Weight in Belt"
statReduceWeightBeltFood,"Food Weight in Belt"
